"Nombre","Volumen","Unidad de medida","Referencia interna","D365 Reference","Box Qty","Pronosticado con pendiente"
"Linterna táctica recargable USB (x120u)","0.02535","Unidades","ET1LIN0002","GLTI-3WU","120.0","0.0"
"Liston Estanco LED para exterior 18W (x30u)","0.0418676","Unidades","ET1ADE0029","EST18LFBA","30.0","0.0"
"Liston Estanco LED para exterior 36W (x30u)","0.08000625","Unidades","ET1ADE0030","EST36LFBA","30.0","1.0"
"Listón tubo LED  12 W - frío (x25u)","0.02553","Unidades","ET1LAM0011","LIS12LDE","25.0","26.0"
"Listón tubo LED 12 W - cálido (x25u)","0.02553","Unidades","ET1LAM0013","LIS12LCE","25.0","2.0"
"Listón tubo LED 12 W - neutro (x25u)","0.02553","Unidades","ET1LAM0012","LIS12LNE","25.0","4.0"
"Listón tubo LED 16 W - cálido (x25u)","0.035055","Unidades","ET1LAM0016","LIS16LCE","25.0","0.0"
"Listón tubo LED 16 W - frío (x25u)","0.035055","Unidades","ET1LAM0014","LIS16LDE","25.0","14.0"
"Listón tubo LED 4 W - cálido (x25u)","0.0097125","Unidades","ET1LAM0007","LIS04LCE","25.0","8.0"
"Listón tubo LED 4 W - frío (x25u)","0.0097125","Unidades","ET1LAM0005","LIS04LDE","25.0","37.0"
"Listón tubo LED 4 W - neutro (x25u)","0.0097125","Unidades","ET1LAM0006","LIS04LNE","25.0","4.0"
"Listón tubo LED 8 W - cálido (x25u)","0.0180975","Unidades","ET1LAM0010","LIS08LCE","25.0","0.0"
"Listón tubo LED 8 W - frío (x25u)","0.0180975","Unidades","ET1LAM0008","LIS08LDE","25.0","43.0"
"Listón tubo LED 8 W - neutro (x25u)","0.0180975","Unidades","ET1LAM0009","LIS08LNE","25.0","0.0"
"Llave ajustable 10"" (x48u)","0.0268509","Unidades","MI1STH0007","DLAI-0010","48.0","1.0"
"Llave ajustable 10"" (x6u)","0.0290745","Unidades","BR1LLV0003","DHMI-LA10","6.0","0.0"
"Llave ajustable 12"" (x6u)","0.033","Unidades","BR1LLV0004","DHMI-LA12","6.0","7.0"
"Llave ajustable 8"" (x60u)","0.036244","Unidades","MI1STH0006","DLAI-0008","60.0","1.0"
"Llave combinada Pro 10 mm (x12u)","0.0015015","Unidades","TR1LLV0005","44660110","12.0","0.0"
"Llave combinada Pro 11 mm (x12u)","0.0015015","Unidades","TR1LLV0006","44660111","12.0","0.0"
"Llave combinada Pro 12 mm (x12u)","0.0015015","Unidades","TR1LLV0007","44660112","12.0","0.0"
"Llave combinada Pro 13 mm (x12u)","0.0015015","Unidades","TR1LLV0008","44660113","12.0","17.0"
"Llave combinada Pro 14 mm (x12u)","0.0020405","Unidades","TR1LLV0009","44660114","12.0","2.0"
"Llave combinada Pro 15 mm (x12u)","0.0020405","Unidades","TR1LLV0010","44660115","12.0","4.0"
"Llave combinada Pro 16 mm (x12u)","0.0020405","Unidades","TR1LLV0011","44660116","12.0","4.0"
"Llave combinada Pro 17 mm (x12u)","0.0025795","Unidades","TR1LLV0012","44660117","12.0","1.0"
"Llave combinada Pro 18 mm (x12u)","0.0025795","Unidades","TR1LLV0013","44660118","12.0","2.0"
"Llave combinada Pro 19 mm (x12u)","0.0033495","Unidades","TR1LLV0014","44660119","12.0","3.0"
"Llave combinada Pro 20 mm (x12u)","0.0033495","Unidades","TR1LLV0015","44660120","12.0","3.0"
"Llave combinada Pro 21 mm (x12u)","0.0033495","Unidades","TR1LLV0016","44660121","12.0","2.0"
"Llave combinada Pro 22 mm (x12u)","0.0033495","Unidades","TR1LLV0017","44660122","12.0","4.0"
"Llave combinada Pro 23 mm (x12u)","0.0033495","Unidades","TR1LLV0018","44660123","12.0","2.0"
"Llave combinada Pro 24 mm (x6u)","0.0033495","Unidades","TR1LLV0019","44660124","6.0","2.0"
"Llave combinada Pro 25 mm (x6u)","0.0033495","Unidades","TR1LLV0020","44660125","6.0","1.0"
"Llave combinada Pro 26 mm (x6u)","0.0033495","Unidades","TR1LLV0021","44660126","6.0","1.0"
"Llave combinada Pro 27 mm (x6u)","0.00033495","Unidades","TR1LLV0022","44660127","6.0","1.0"
"Llave combinada Pro 28 mm (x6u)","0.0033495","Unidades","TR1LLV0023","44660128","6.0","2.0"
"Llave combinada Pro 29 mm (x6u)","0.0033495","Unidades","TR1LLV0024","44660129","6.0","1.0"
"Llave combinada Pro 30 mm (x6u)","0.0033495","Unidades","TR1LLV0025","44660130","6.0","0.0"
"Llave combinada Pro 32 mm (x6u)","0.004937625","Unidades","TR1LLV0026","44660132","6.0","1.0"
"Llave combinada Pro 33 mm (x6u)","0.004937625","Unidades","TR1LLV0027","44660133","6.0","1.0"
"Llave combinada Pro 34 mm (x6u)","0.004937625","Unidades","TR1LLV0028","44660134","6.0","1.0"
"Llave combinada Pro 36 mm (x6u)","0.004937625","Unidades","TR1LLV0029","44660136","6.0","1.0"
"Llave combinada Pro 38 mm (x6u)","0.004937625","Unidades","TR1LLV0030","44660138","6.0","1.0"
"Llave combinada Pro 6 mm (x12u)","0.0015015","Unidades","TR1LLV0001","44660106","12.0","4.0"
"Llave combinada Pro 7 mm (x12u)","0.0015015","Unidades","TR1LLV0002","44660107","12.0","1.0"
"Llave combinada Pro 8 mm (x12u)","0.0015015","Unidades","TR1LLV0003","44660108","12.0","2.0"
"Llave combinada Pro 9 mm (x12u)","0.0015015","Unidades","TR1LLV0004","44660109","12.0","1.0"
"Llave crique 1/2"" (x20u)","0.02313425","Unidades","BR1LLV0001","BC1/2","20.0","0.0"
"Llave cruz de 14"" DLAI-0014 (x12u)","0.022344","Unidades","KU1LLV0001","DLAI-0014","12.0","0.0"
"Llave cruz de 18"" DLAI-0018 (x12u)","0.0351","Unidades","KU1LLV0002","DLAI-0018","12.0","0.0"
"Llave cruz plegable de 14"" DLAI-00P1 (x12u)","0.016848","Unidades","KU1LLV0003","DLAI-00P1","12.0","9.0"
"Llave de impacto 1/2"" BLI1/2-B (x10u)","0.03666","Unidades","BR1LLI0007","BLI1/2-B","10.0","0.0"
"Llave de impacto 1/2"" brushless - IONMAX (x10u)","0.0310155","Unidades","BR1LLI0009","BIM-12LLI","10.0","12.0"
"Llave de impacto 1/2"" brushless - Ion litio (x5u)","0.03","Unidades","BR1LLI0006","BIL-LIBL","5.0","8.0"
"Llave de impacto 1/2"" ion litio - 2 velocidades (x5u)","0.065379","Unidades","MI1LLI0001","BIL-LIBLA","5.0","0.0"
"Llave de impacto 3/4"" BLIP3/4 (x5u)","0.03056175","Unidades","BR1LLI0004","BLIP3/4","5.0","0.0"
"Llave de paso fusión con campana cromada HH ø 20 (x15u)","0.042875","Unidades","TF1ACS0048","LLPFU-20","15.0","0.0"
"Llave de paso fusión con campana cromada HH ø 25 (x15u)","0.042875","Unidades","TF1ACS0049","LLPFU-25","15.0","0.0"
"Llave tubo L extensible DLAI-00T1 (x20u)","0.03906","Unidades","KU1LLV0004","DLAI-00T1","20.0","3.0"
"Lubricante multiuso 250 cm³ (x12u)","0.006048","Unidades","PN1CNM0001","P317","12.0","0.0"
"Luces decorativas USB - Tipo lluvia (x50u)","0.043586","Unidades","ET1LDC0004","LUNL3USBCOE","50.0","3.0"
"Luces decorativas a pila tipo arroz (x50u)","0.02468475","Unidades","ET1LDC0001","LUNA2MPCE","50.0","0.0"
"Luces decorativas a pila tipo esfera (x50u)","0.04773","Unidades","ET1LDC0003","LUNE2MPCE","50.0","0.0"
"Luces decorativas solar tipo arroz (x48u)","0.03876","Unidades","ET1LDC0044","GLDI-SRTA","48.0","0.0"
"Luminaria Colgante de led integrado 2 Aros color negro (x4u)","1e-06","Unidades","ET1PNC0001","GLCI-2ALI","4.0","0.0"
"Luminaria Colgante de led integrado 3 Aros color negro (x3u)","1e-06","Unidades","ET1LDI0001","GLCI-3ALI","3.0","0.0"
"Luminaria LED alumbrado público 100W - luz fría (x10u)","0.0","Unidades","ET1ALP0006","GAPI-100C","10.0","0.0"
"Luminaria LED alumbrado público 150W - luz fría (x5u)","0.0","Unidades","ET1ALP0007","GAPI-150C","5.0","0.0"
"Luminaria LED de escritorio touch USB 20 LED con lapicero (x60u)","0.1631055","Unidades","ET1LAM00179","ALLI-LA20","60.0","4.0"
"Luminaria LED de escritorio touch USB LED aro (x60u)","0.103032","Unidades","ET1LAM00177","ALLI-AN20","60.0","2.0"
"Luminaria LED de escritorio touch USB LED oval (x60u)","0.103032","Unidades","ET1LAM00178","ALLI-OV20","60.0","0.0"
"Luminaria LED flotante (x100u)","0.078144","Unidades","ET1FRO0014","LLP01E","100.0","0.0"
"Luminaria LED galponera 100 W - fría (x16u)","0.047922","Unidades","ET1LDI0048","UFO100C","16.0","0.0"
"Luminaria LED galponera 150 W - fría (x10u)","0.03619","Unidades","ET1LDI0049","UFO150C","10.0","9.0"
"Luminaria LED galponera 200 W - fría (x8u)","0.03661875","Unidades","ET1LDI0050","UFO200C","8.0","0.0"
"Luminaria LED sumergible (x100u)","0.07832","Unidades","ET1FRO0015","LLP02E","100.0","0.0"
"Luminaria Led alumbrado público 100W - luz fría (x10u)","0.081549","Unidades","ET1LDE0025","GAPI-100G","10.0","0.0"
"Luminaria Led alumbrado público 100W - luz fría (x4u)","0.038376","Unidades","ET1ALP0002","GAPI-100F","4.0","78.0"
"Luminaria Led alumbrado público 150W - luz fría (x10u)","0.13572","Unidades","ET1LDE0026","GAPI-150G","10.0","0.0"
"Luminaria Led alumbrado público 150W - luz fría (x4u)","0.0494875","Unidades","ET1ALP0003","GAPI-150F","4.0","170.0"
"Luminaria Led alumbrado público 200W - luz fría (x2u)","0.035014","Unidades","ET1ALP0004","GAPI-200F","2.0","163.0"
"Luminaria Led alumbrado público 200W - luz fría (x5u)","0.06449625","Unidades","ET1LDE0027","GAPI-200G","5.0","0.0"
"Luminaria Led alumbrado público 50W - luz fría (x20u)","0.111228","Unidades","ET1LDE0024","GAPI-050G","20.0","0.0"
"Luminaria Led alumbrado público 50W - luz fría (x6u)","0.03227725","Unidades","ET1ALP0001","GAPI-050F","6.0","89.0"
"Luminaria Tortuga LED ovalada 15 W - luz cálida (0u)","0.05733","Unidades","ET1TLB0015","GLTI-15OC","40.0","0.0"
"Luminaria Tortuga LED ovalada 15 W - luz fría (x40u)","0.05733","Unidades","ET1TLB0016","GLTI-15OF","40.0","3.0"
"Luminaria Tortuga LED ovalada 8 W - luz cálida (0u)","0.036984","Unidades","ET1TLB0013","GLTI-8WOC","40.0","2.0"
"Luminaria Tortuga LED ovalada 8 W - luz fría (x40u)","0.036984","Unidades","ET1TLB0014","GLTI-8WOF","40.0","14.0"
"Luminaria Tortuga LED redonda 15 W - luz cálida (x40u)","0.08718125","Unidades","ET1TLB0011","GLTI-15RC","40.0","3.0"
"Luminaria Tortuga LED redonda 15 W - luz fría (x40u)","0.08718125","Unidades","ET1TLB0012","GLTI-15RF","40.0","10.0"
"Luminaria Tortuga LED redonda 8 W - luz fría (x40u)","0.05664","Unidades","ET1TLB0010","GLTI-8WRF","40.0","6.0"
"Luminaria colgante COL5202A - negra","0.02178","Unidades","ET1LAM0078","COL5202A","1.0","0.0"
"Luminaria colgante COL5202AC - blanca","0.02178","Unidades","ET1LAM0089","COL5202AC","1.0","17.0"
"Luminaria colgante COL5202B - negra","0.0386595","Unidades","ET1LAM0079","COL5202B","1.0","1.0"
"Luminaria colgante COL5202BC - blanca","0.038115","Unidades","ET1LAM0090","COL5202BC","1.0","34.0"
"Luminaria colgante COL5202C - negra","0.04056","Unidades","ET1LAM0080","COL5202C","1.0","2.0"
"Luminaria colgante COL5202CC - blanca","0.04056","Unidades","ET1LAM0091","COL5202CC","1.0","52.0"
"Luminaria colgante Smoke Harlem Campana","0.0169065","Unidades","ET1LDC0049","GLCI-TNE27A","1.0","0.0"
"Luminaria colgante Smoke Harlem Copa","0.0169065","Unidades","ET1LDC0050","GLCI-TNE27B","1.0","0.0"
"Luminaria colgante Smoke Harlem Hemisférica","0.0169065","Unidades","ET1LDC0051","GLCI-TNE27C","1.0","0.0"
"Luminaria colgante bagel blanca 40 cm","0.026325","Unidades","ET1LDC0055","GBCI-40BL","1.0","1.0"
"Luminaria colgante bagel blanca 60 cm","0.054925","Unidades","ET1LDC0057","GBCI-60BL","1.0","0.0"
"Luminaria colgante bagel gris oscuro 40 cm","0.026325","Unidades","ET1LDC0056","GBCI-40GO","1.0","0.0"
"Luminaria colgante bagel gris oscuro 60 cm","0.054925","Unidades","ET1LDC0058","GBCI-60GO","1.0","0.0"
"Luminaria colgante bastón LED dorado (x10u)","0.0318","Unidades","ET1LDI0046","GBCI-5WDO","10.0","13.0"
"Luminaria colgante bastón LED negro (x10u)","0.0595","Unidades","ET1LDI0047","GBCI-5WNE","10.0","0.0"
"Luminaria colgante cónica blanca (x30u)","0.134784","Unidades","ET1LDI0027","GLCI-JNE27A","30.0","0.0"
"Luminaria colgante cónica negra (x30u)","0.134784","Unidades","ET1LDI0028","GLCI-JNE27B","30.0","0.0"
"Luminaria colgante de ratán","0.042875","Unidades","ET1LDC0052","GLCI-RAT1","1.0","20.0"
"Luminaria colgante diamante (x12u)","0.1936896","Unidades","ET1LAM0083","POR1NEPC","12.0","0.0"
"Luminaria colgante esférica 15 cm dorada","0.014674","Unidades","ET1LAM00154","COL15DE","1.0","18.0"
"Luminaria colgante esférica 15 cm plateada","0.014674","Unidades","ET1LAM00132","COL15PE","1.0","0.0"
"Luminaria colgante esférica 30 cm plateada COL30DB","0.050653","Unidades","ET1LAM00169","COL30DB","1.0","0.0"
"Luminaria colgante geométrica - blanca","0.022875","Unidades","ET1LDC0021","GLCI-GBE27","1.0","37.0"
"Luminaria colgante geométrica - gris","0.02249375","Unidades","ET1LDC0022","GLCI-GGE27","1.0","35.0"
"Luminaria colgante geométrica - negra","0.0233325","Unidades","ET1LDC0020","GLCI-GNE27","1.0","74.0"
"Luminaria colgante oval 21 cm smoke","0.021344","Unidades","ET1LAM00157","COL20PC","1.0","0.0"
"Luminaria colgante oval 21 cm transparente","0.021344","Unidades","ET1LAM00155","COL20PA","1.0","40.0"
"Luminaria colgante oval 21 cm ámbar","0.021344","Unidades","ET1LAM00156","COL20PB","1.0","14.0"
"Luminaria colgante oval 25 cm smoke","0.031152","Unidades","ET1LAM00160","COL25PC","1.0","0.0"
"Luminaria colgante oval 25 cm transparente","0.031152","Unidades","ET1LAM00158","COL25PA","1.0","50.0"
"Luminaria colgante oval 25 cm ámbar","0.0272","Unidades","ET1LAM00159","COL25PB","1.0","28.0"
"Luminaria colgante plato (x12u)","0.066071808","Unidades","ET1LAM0084","POR1NEPD","12.0","0.0"
"Luminaria colgante tipo industrial con jaula (x6 u)","0.10098792","Unidades","ET1LAM0082","POR1NEPB","6.0","0.0"
"Luminaria colgante tipo industrial sin jaula (x12u)","0.19870592","Unidades","ET1LAM0081","POR1NEPA","12.0","0.0"
"Luminaria colgante tipo jaula - negra","0.049197","Unidades","ET1LDC0023","GLCI-JNE27","1.0","18.0"
"Luminaria colgante tipo naval - negra","0.02754","Unidades","ET1LDC0024","GLCI-NNE27","1.0","36.0"
"Luminaria colgante triangular - blanca","0.038628","Unidades","ET1LDC0019","GLCI-TBE27","1.0","35.0"
"Luminaria colgante triangular - negra","0.038628","Unidades","ET1LDC0018","GLCI-TNE27","1.0","46.0"
"Luminaria colgante vintage - color bronce (x30u)","0.055332","Unidades","ET1LAM0071","POR1BROE","30.0","8.0"
"Luminaria colgante vintage - color cobre (x30u)","0.055332","Unidades","ET1LAM0072","POR1COBE","30.0","2.0"
"Luminaria colgante vintage - color oro (x30u)","0.05333125","Unidades","ET1LAM0073","POR1OROE","30.0","9.0"
"Luminaria colgante vintage - negro perlado (x30u)","0.055332","Unidades","ET1LAM0074","POR1NEPE","30.0","0.0"
"Luminaria de mesa Industrial - deco campana (x6u)","0.05488875","Unidades","ET1LAM00228","GLMI-E14C","6.0","23.0"
"Luminaria de mesa Industrial - deco cilíndrico (x6u)","0.035802","Unidades","ET1LAM00230","GLMI-E14V","6.0","14.0"
"Luminaria de mesa Industrial - deco jaula (x6u)","0.05611875","Unidades","ET1LAM00229","GLMI-E14J","6.0","12.0"
"Luminaria de mesa Industrial - deco tulipa 2 vidrios (x6u)","0.035802","Unidades","ET1LAM00232","GLMI-E14A","6.0","10.0"
"Luminaria de mesa Industrial - deco tulipa combinada (x6u)","0.0472815","Unidades","ET1LAM00231","GLMI-E14T","6.0","10.0"
"Luminaria de mesa RGB (x50u)","0.105","Unidades","ET1LDC0040","GLMI-RGBB","50.0","3.0"
"Luminaria de mesa RGB Wi-Fi (velita) (x30u)","0.107136","Unidades","ET1LDC0025","GLMI-VRWF","30.0","1.0"
"Luminaria de mesa nórdica - campana blanca (x6u)","0.0769065","Unidades","ET1LDC0007","GLMI-NCBL","6.0","2.0"
"Luminaria de mesa nórdica - campana celeste (x6u)","0.0769065","Unidades","ET1LDC0059","GLMI-NCCE","6.0","0.0"
"Luminaria de mesa nórdica - campana gris (x6u)","0.0769065","Unidades","ET1LDC0060","GLMI-NCGR","6.0","2.0"
"Luminaria de mesa nórdica - campana negra (x6u)","0.0769065","Unidades","ET1LDC0008","GLMI-NCNE","6.0","18.0"
"Luminaria de mesa touch de metal dorado USB (x20u)","0.095418","Unidades","ET1LDI0014","GLMI-TODO","20.0","1.0"
"Luminaria de mesa touch de metal negro USB (x20u)","0.095418","Unidades","ET1LDI0013","GLMI-TONE","20.0","4.0"
"Luminaria de pie Platil con flexible y bocha","0.15872","Unidades","ET1LAM00204","GLPI-LPPA","1.0","0.0"
"Luminaria de techo aro suspendido 40 cm (x6u)","0.1449","Unidades","ET1LDI0030","GLFI-40CM","6.0","0.0"
"Luminaria de techo aro suspendido 50 cm (x6u)","0.23485","Unidades","ET1LDI0031","GLFI-50CM","6.0","0.0"
"Luminaria eclipse 12 cm 6 w luz cálida (x30u)","0.04608","Unidades","ET1LDI0007","GLEI-126C","30.0","4.0"
"Luminaria eclipse 12 cm 6 w luz fría (x30u)","0.04608","Unidades","ET1LDI0008","GLEI-126F","30.0","6.0"
"Luminaria eclipse 18 cm 9 w luz cálida (x30u)","0.07938","Unidades","ET1LDI0009","GLEI-189C","30.0","0.0"
"Luminaria eclipse 18 cm 9 w luz fría (x30u)","0.07938","Unidades","ET1LDI0010","GLEI-189F","30.0","6.0"
"Luminaria eclipse 23 cm 12 w luz cálida (x30u)","0.12168","Unidades","ET1LDI0011","GLEI-231C","30.0","0.0"
"Luminaria eclipse 23 cm 12 w luz fría (x30u)","0.12168","Unidades","ET1LDI0012","GLEI-231F","30.0","1.0"
"Luminaria esquinera RGBIC gaming (x8u)","0.051968","Unidades","ET1LDC0039","GLEI-RGBG","8.0","5.0"
"Luminaria led galponera 100 W - fría UFO100A (x10u)","0.046284","Unidades","ET1LAM0096","UFO100A","10.0","0.0"
"Luminaria led galponera 100 W - fría UFO100B (x6u)","0.0521265","Unidades","ET1LDC0035","UFO100B","6.0","31.0"
"Luminaria led galponera 150 W - fría UFO150A (x6u)","0.040293","Unidades","ET1LAM0097","UFO150A","6.0","0.0"
"Luminaria led galponera 150 W - fría UFO150B (x6u)","0.057486","Unidades","ET1LDC0036","UFO150B","6.0","32.0"
"Luminaria led galponera 200 W - fría UFO200A (x5u)","0.046546","Unidades","ET1LAM0098","UFO200A","5.0","0.0"
"Luminaria led galponera 200 W - fría UFO200B (x6u)","0.07441875","Unidades","ET1LDC0038","UFO200B","6.0","112.0"
"Luminaria led recargable con sensor de movimiento (x50u)","0.01785","Unidades","ET1LDI0036","GLMI-SM26","50.0","3.0"
"Luminaria para pileta de concreto 18 W - RGB (x10u)","0.0890175","Unidades","ET1APD0001","LLP18RGBE","10.0","3.0"
"Luminaria para pileta de concreto 18 W - fría (x10u)","0.089397","Unidades","ET1APD0002","LLP18FE","10.0","10.0"
"Luminaria solar de exterior 120 W (x5u)","0.064368","Unidades","ET1LAM00112","CALS120FE","5.0","0.0"
"Luminaria solar de exterior 60 W (x10u)","0.0770125","Unidades","ET1LAM00110","CALS60FE","10.0","0.0"
"Luminaria solar de exterior 90 W (x5u)","0.05298675","Unidades","ET1LAM00111","CALS90FE","5.0","0.0"
"Luminaria solar de exterior con panel externo 200W (x2u)","0.0654345","Unidades","ET1LDE0001","GLSI-PE20","2.0","0.0"
"Luminaria solar de exterior con panel externo 300W (x2u)","0.09212","Unidades","ET1LDE0002","GLSI-PE30","2.0","0.0"
"Luminaria tipo tortuga oval 60 W blanca (x20u)","0.04968","Unidades","ET1LDE0007","GTOI-B60W","20.0","0.0"
"Luminaria tipo tortuga oval 60 W negra (x20u)","0.04968","Unidades","ET1LDE0060","GTOI-N60WA","20.0","0.0"
"Luminaria tipo tortuga oval 60 W negra (x20u)","0.04968","Unidades","ET1LDE0006","GTOI-N60W","20.0","0.0"
"Luminaria tipo tortuga redonda 60 W blanca (x20u)","0.064343","Unidades","ET1LDE0009","GTRI-B60W","20.0","0.0"
"Luminaria tipo tortuga redonda 60 W negra (x20u)","0.064343","Unidades","ET1LDE0008","GTRI-N60W","20.0","0.0"
"Luminaria tipo tortuga redonda 60 W negra (x20u)","0.064343","Unidades","ET1LDE0062","GTRI-N60WA","20.0","0.0"
"Luz LED de emergencia - 30 LED (x24 u)","0.0150255","Unidades","ET1LEM0001","LEM30E","24.0","0.0"
"Luz LED de emergencia - 60 LED (x24 u)","0.026896","Unidades","ET1LEM0002","LEM60E","24.0","0.0"
"Luz LED de emergencia - 90 LED (x20u)","0.0329175","Unidades","ET1LEM0003","LEM90E","20.0","0.0"
"Luz LED flexible portátil USB (x300u)","0.014674","Unidades","ET1LAM0088","LLFP","300.0","0.0"
"Luz baliza trasera recargable para bicicleta (x40u)","0.018513","Unidades","KT1LPR0005","ROLUI-004","40.0","0.0"
"Luz brazalete para running (x50u)","0.021021","Unidades","ME1ACC0001","DLUP-0001","50.0","0.0"
"Luz de trabajo - ion litio (x2u)","0.04693","Unidades","BR1LZT0001","BIL-LT18","2.0","0.0"
"Luz de trabajo portátil COB (x100 u)","0.0198","Unidades","ET1LZT0001","GLTI-300L","100.0","0.0"
"Luz de trabajo portátil COB (x100u)","0.00574275","Unidades","ET1LZT0002","GLTI-500L","100.0","0.0"
"Luz delantera recargable para bicicleta (x20u)","0.018414","Unidades","KT1LPR0004","ROLUI-003","20.0","0.0"
"Lámina de silicona para hornear (x48u)","0.03","Unidades","VN1UTC0026","CMSI-LA40","48.0","1.0"
"Lámpara LED 9 W 3 intensidades (x100u)","0.053856","Unidades","ET1LAM00134","LAM093DE","100.0","22.0"
"Lámpara LED 9 W 3 pasos (x100u)","0.05304","Unidades","ET1LAM00114","LAM093PE","100.0","20.0"
"Lámpara LED 9 W repelente de insecto (x100u)","0.048384","Unidades","ET1LAM00143","LAM09ME","100.0","0.0"
"Lámpara LED G9 6 watts - cálida (x300u)","0.021445125","Unidades","ET1LAM0056","LAM6G9CE","300.0","0.0"
"Lámpara LED G9 6 watts - fría (x300u)","0.021445125","Unidades","ET1LAM0055","LAM6G9FE","300.0","0.0"
"Lámpara LED G95 4 W - 3D fireworks (x50u)","0.103032","Unidades","ET1LAM00163","LAM04STSC","50.0","0.0"
"Lámpara LED RGBW con parlante inalámbrico (x50u)","0.0684285","Unidades","ET1LAM00170","LAM13CC","50.0","64.0"
"Lámpara LED ST64 4 W - 3D fireworks (x100u)","0.0969","Unidades","ET1LAM00162","LAM04STSB","100.0","0.0"
"Lámpara LED alta potencia 100 W - fría (x15 u)","0.1010965","Unidades","ET1LAM0034","LAM100XLFE","15.0","0.0"
"Lámpara LED alta potencia 100 W - neutra (x15u)","0.1010965","Unidades","ET1LAM0033","LAM100XLNE","15.0","0.0"
"Lámpara LED alta potencia 20 W fría (x50u)","0.054825","Unidades","ET1LAM00136","LAM20LISFE","50.0","0.0"
"Lámpara LED alta potencia 20 W neutra (x50u)","0.061248","Unidades","ET1LAM00135","LAM20LISNE","50.0","0.0"
"Lámpara LED alta potencia 30 W fría (x30u)","0.062488","Unidades","ET1LAM00138","LAM30LISFE","30.0","0.0"
"Lámpara LED alta potencia 40 W fría (x20u)","0.065579625","Unidades","ET1LAM00140","LAM40LISFE","20.0","0.0"
"Lámpara LED alta potencia 50 W - fría E40 (x20 u)","0.11662975","Unidades","ET1LAM0030","LAM50XLFE","20.0","163.0"
"Lámpara LED alta potencia 50 W fría (x20u)","0.1025325","Unidades","ET1LAM00142","LAM50LISFE","20.0","0.0"
"Lámpara LED alta potencia 80 W - fría (x20 u)","0.128456625","Unidades","ET1LAM0032","LAM80XLFE","20.0","39.0"
"Lámpara LED alta potencia Magnolia 50 W fría (x24u)","0.08633625","Unidades","ET1LAM00244","GLUI-50WFA","24.0","0.0"
"Lámpara LED alta potencia galponera 50 W fría tipo UFO (x20u)","0.19654635","Unidades","ET1LAM00233","GLUI-50WF","20.0","1.0"
"Lámpara LED con cámara 360° Wi-Fi (x50u)","0.08837175","Unidades","ET1LAM00172","LAM04GDCC","50.0","0.0"
"Lámpara LED con sensor de luz ( día - noche) (x100u)","0.05221125","Unidades","ET1LAM00152","LAM09MA","100.0","0.0"
"Lámpara LED de crecimiento 18 W LAM18GE (x50u)","0.127008","Unidades","ET1LAM00126","LAM18GE","50.0","0.0"
"Lámpara LED galponera de alta potencia 100 W - fría (x20u)","0.13689","Unidades","ET1LAM00250","GHPI-100W","20.0","0.0"
"Lámpara LED galponera de alta potencia 150 W - fría (x20u)","0.193248","Unidades","ET1LAM00251","GHPI-150W","20.0","14.0"
"Lámpara LED galponera de alta potencia 80 W - fría (x20u)","0.091392","Unidades","ET1LAM00249","GHPI-80WF","20.0","1.0"
"Lámpara LED smart 9 W RGB WIFI (x100 u)","0.06097","Unidades","ET1LAM00151","LAM09SRGB","100.0","0.0"
"Lámpara LED velita 5 W cálida (x100u)","0.018","Unidades","ET1LAM00116","LAM05VCE","100.0","8.0"
"Lámpara LED velita 5 W fría (x100u)","0.018","Unidades","ET1LAM00115","LAM05VFE","100.0","2.0"
"Lámpara LED vintage A60 4 W - ultra cálida (x50 u)","0.033075","Unidades","ET1LAM0059","LAM04ACE","50.0","1.0"
"Lámpara LED vintage A60 8 W - ultra cálida (x50 u)","0.033075","Unidades","ET1LAM0060","LAM08ACE","50.0","2.0"
"Lámpara LED vintage G95 4 W - smoked (x50 u)","0.0973875","Unidades","ET1LAM00145","LAM04GSE","50.0","1.0"
"Lámpara LED vintage G95 4 W - ultra cálida (x50u)","0.097838","Unidades","ET1LAM0063","LAM04GCE","50.0","0.0"
"Lámpara LED vintage G95 8 W - ultra cálida (x50 u)","0.0973875","Unidades","ET1LAM0064","LAM08GCE","50.0","0.0"
"Lámpara LED vintage ST64 4 W - smoked (x50 u)","0.047804","Unidades","ET1LAM00144","LAM04STSE","50.0","1.0"
"Lámpara LED vintage ST64 4 W - ultra cálida (x40 u)","0.03774","Unidades","ET1LAM0061","LAM04STCE","40.0","0.0"
"Lámpara LED vintage ST64 8 W - ultra cálida (x40u)","0.04","Unidades","ET1LAM0062","LAM08STCE","40.0","0.0"
"Lámpara astronauta con proyector de galaxia (x24u)","0.096525","Unidades","ET1LDC0062","GLAI-PG01","24.0","0.0"
"Lámpara de LED AR111 11 W cálida (x50u)","0.05625","Unidades","ET1LAM00235","GLAI-111C","50.0","0.0"
"Lámpara de LED AR111 11 W cálida dimerizable (x50u)","0.05625","Unidades","ET1LAM00237","GLAI-111D","50.0","0.0"
"Lámpara de LED AR111 11 W fría (x50u)","0.05625","Unidades","ET1LAM00236","GLAI-111F","50.0","0.0"
"Lámpara de LED dicroica 7 W cálida ángulo 100° (x100 u)","0.02333775","Unidades","ET1LAM0038","LAMCGU7CE","100.0","0.0"
"Lámpara de LED dicroica 7 W cálida ángulo 38° (x100u)","0.02333775","Unidades","ET1LAM0036","LAMGU7CE","100.0","0.0"
